"","weight","height","male","educ","physical","stamps","white","black"
"587",130,65,0,12,2,0,1,0
"588",122,63,0,12,5,0,1,0
"589",170,67,1,15,5,0,0,1
"590",145,63,0,13,3,0,1,0
"591",210,63,0,12,1,0,0,1
"592",165,61,0,11,4,0,0,1
"593",145,71,1,14,4,0,0,1
"594",144,65,0,17,1,0,1,0
"595",170,66,0,17,1,0,1,0
"596",180,69,1,14,4,0,0,0
"597",215,71,0,12,3,0,0,1
"598",140,67,0,9,3,0,0,1
"599",154,66,1,8,2,0,0,0
"600",120,69,1,8,1,0,1,0
"601",180,71,1,12,5,0,1,0
"602",NA,67,0,10,1,0,1,0
"603",220,66,1,14,3,0,1,0
"604",120,NA,0,11,1,0,1,0
"605",135,68,1,8,1,0,1,0
"606",118,62,0,11,1,0,1,0
"607",185,73,1,14,5,0,1,0
"608",140,69,1,16,2,0,0,1
"609",220,72,1,14,2,0,1,0
"610",170,67,0,14,4,0,1,0
"611",240,72,1,13,2,0,0,1
"612",181,62,0,8,4,0,1,0
"613",155,67,1,12,4,0,1,0
"614",165,67,0,12,5,0,0,1
"615",165,63,0,4,5,0,1,0
"616",NA,65,0,12,1,0,1,0
"617",135,65,0,7,3,0,0,1
"618",180,66,0,12,3,0,0,1
"619",125,62,0,12,3,0,0,1
"620",120,64,0,14,3,0,1,0
"621",180,66,0,12,4,0,1,0
"622",130,64,0,8,1,0,1,0
"623",165,63,0,12,3,0,1,0
"624",103,62,0,16,3,0,1,0
"625",284,65,0,11,2,1,0,1
"626",232,64,0,8,3,1,0,1
"627",200,62,0,12,2,1,0,1
"628",165,61,0,8,1,0,0,1
"629",185,67,1,12,1,0,1,0
"630",165,67,0,11,3,0,1,0
"631",175,67,0,16,3,0,1,0
"632",210,67,1,14,5,0,1,0
"633",114,61,0,10,1,0,1,0
"634",156,71,1,7,1,0,1,0
"635",160,68,0,17,1,0,1,0
"636",216,69,1,9,3,0,0,1
"637",190,69,1,12,2,0,0,1
"638",165,65,1,7,1,0,0,1
"639",186,70,1,11,5,0,0,1
"640",158,66,1,7,3,0,0,1
"641",158,68,0,17,2,0,1,0
"642",110,61,0,12,4,0,1,0
"643",160,65,0,13,2,0,1,0
"644",148,65,0,12,3,0,1,0
"645",165,72,1,12,5,0,1,0
"646",160,67,0,12,4,0,0,1
"647",225,73,1,14,1,0,1,0
"648",220,NA,0,6,1,0,0,1
"649",205,75,1,12,5,0,1,0
"650",135,59,0,12,3,0,0,1
"651",149,63,0,13,5,0,1,0
"652",100,62,0,17,2,0,1,0
"653",92,NA,0,14,1,0,1,0
"654",275,74,1,13,4,0,1,0
"655",150,65,0,12,2,0,1,0
"656",160,66,1,5,3,0,1,0
"657",130,65,0,12,1,0,1,0
"658",140,67,1,15,4,0,1,0
"659",160,67,0,12,4,0,0,0
"660",180,69,1,11,1,1,1,0
"661",156,66,0,9,4,0,1,0
